Time,ReachedHoldTime,Force,DesiredForce,State,ActualWidth,CommandWidth,Proximity,RawFzL,RawFzR,ForcePrediction,SpringConstant,RLSError,BaselineWidth,Ripeness
1763621517.0431228,0,0.125,0.5,2,0,1,436,220,130.0,0.0,0.0,0.0,0.0,unknown
1763621517.0849974,0,0.11666666666666667,0.5,1,1,1,362.6666666666667,219.9,121.66666666666666,0.0,0.0,0.0,0.0,unknown
1763621517.1199992,0,0.1375,0.5,2,2,1,326,219.8,118.75,0.0,0.0,0.0,0.0,unknown
1763621517.1309032,0,0.13,0.5,1,1,1,304,219.70000000000002,117.0,0.0,0.0,0.0,0.0,unknown
1763621517.247326,0,0.13333333333333333,0.5,2,1,1,289.3333333333333,219.60000000000002,115.0,0.0,0.0,0.0,0.0,unknown
1763621517.3561494,0,0.12142857142857143,0.5,1,0,1,278.85714285714283,219.50000000000003,115.0,0.0,0.0,0.0,0.0,unknown
1763621517.4339101,0,0.11875000000000001,0.5,1,1,1,271,219.40000000000003,114.375,0.0,0.0,0.0,0.0,unknown
1763621517.4546533,0,0.12222222222222222,0.5,2,1,1,264.8888888888889,219.30000000000004,114.44444444444444,0.0,0.0,0.0,0.0,unknown
1763621517.5179925,0,0.12,0.5,1,1,1,257.9,219.20000000000005,114.5,0.0,0.0,0.0,0.0,unknown
1763621517.585822,0,0.12272727272727273,0.5,1,2,1,252.1818181818182,219.10000000000005,114.0909090909091,0.0,0.0,0.0,0.0,unknown
1763621517.7225397,0,0.125,0.5,1,2,1,247.41666666666666,219.00000000000006,113.75,0.0,0.0,0.0,0.0,unknown
1763621517.7922263,0,0.12307692307692308,0.5,1,1,1,243.3846153846154,218.90000000000006,113.07692307692307,0.0,0.0,0.0,0.0,unknown
1763621517.8572779,0,0.125,0.5,1,2,1,239.92857142857142,218.80000000000007,112.5,0.0,0.0,0.0,0.0,unknown
1763621517.885525,0,0.12666666666666668,0.5,2,1,1,236.93333333333334,218.70000000000007,112.33333333333334,0.0,0.0,0.0,0.0,unknown
1763621517.948123,0,0.128125,0.5,1,2,1,234.3125,218.60000000000008,112.1875,0.0,0.0,0.0,0.0,unknown
1763621518.013035,0,0.1323529411764706,0.5,2,2,1,232,218.50000000000009,111.76470588235293,0.0,0.0,0.0,0.0,unknown
