Time,ReachedHoldTime,Force,DesiredForce,State,ActualWidth,CommandWidth,Proximity,RawFzL,RawFzR,ForcePrediction,SpringConstant,RLSError,BaselineWidth,Ripeness
1763618180.9534142,0,0.0,0.5,0,0,1,197,220,187.5,None,None,None,0.0,unknown
1763618181.159435,0,0.0,0.5,0,0,1,203.33333333333334,219.9,186.66666666666669,None,None,None,0.0,unknown
1763618181.3939862,0,0.0,0.5,0,0,1,206.5,219.8,175.0,None,None,None,0.0,unknown
1763618181.5339108,0,0.0,0.5,0,0,1,208.4,219.70000000000002,172.0,None,None,None,0.0,unknown
1763618181.7922974,0,0.0,0.5,0,0,1,209.66666666666666,219.60000000000002,168.33333333333334,None,None,None,0.0,unknown
1763618181.9906902,0,0.0,0.5,0,0,1,210.57142857142858,219.50000000000003,165.71428571428572,None,None,None,0.0,unknown
1763618182.0917327,0,0.00625,0.5,0,1,1,211.25,219.40000000000003,164.375,None,None,None,0.0,unknown
1763618182.3345203,0,0.005555555555555556,0.5,0,0,1,209.44444444444446,219.30000000000004,160.55555555555554,None,None,None,0.0,unknown
1763618182.5316212,0,0.005,0.5,0,0,1,208,219.20000000000005,155.5,None,None,None,0.0,unknown
1763618182.6483543,0,0.009090909090909092,0.5,0,1,1,206.8181818181818,219.10000000000005,151.8181818181818,None,None,None,0.0,unknown
1763618182.851088,0,0.0125,0.5,0,1,1,205.83333333333334,219.00000000000006,149.58333333333334,None,None,None,0.0,unknown
1763618183.0884266,0,0.015384615384615385,0.5,0,1,1,205,218.90000000000006,145.0,None,None,None,0.0,unknown
1763618183.1813703,0,0.014285714285714287,0.5,0,0,1,204.28571428571428,218.80000000000007,142.14285714285714,None,None,None,0.0,unknown
1763618183.2710733,0,0.02,0.5,1,1,1,203.66666666666666,218.70000000000007,139.33333333333334,None,None,None,0.0,unknown
1763618183.3172154,0,0.018750000000000003,0.5,0,0,1,203.125,218.60000000000008,136.875,None,None,None,0.0,unknown
1763618183.3786943,0,0.020588235294117647,0.5,0,1,1,202.64705882352942,218.50000000000009,134.7058823529412,None,None,None,0.0,unknown
1763618183.4666183,0,0.022222222222222223,0.5,0,1,1,202.22222222222223,218.4000000000001,133.33333333333334,None,None,None,0.0,unknown
1763618183.624501,0,0.026315789473684213,0.5,2,0,1,201.8421052631579,218.3000000000001,132.89473684210526,None,None,None,0.0,unknown
1763618183.904482,0,0.030000000000000002,0.5,1,1,1,202.55,218.2000000000001,132.75,None,None,None,0.0,unknown
1763618184.0992093,0,0.03333333333333333,0.5,1,1,1,203.1904761904762,218.1000000000001,132.14285714285714,None,None,None,0.0,unknown
1763618184.2394989,0,0.04090909090909091,0.5,2,2,1,203.77272727272728,218.0000000000001,132.72727272727275,None,None,None,0.0,unknown
1763618184.2849693,0,0.0391304347826087,0.5,0,0,1,204.30434782608697,217.90000000000012,133.47826086956522,None,None,None,0.0,unknown
1763618184.34871,0,0.037500000000000006,0.5,0,0,1,204.79166666666666,217.80000000000013,133.95833333333331,None,None,None,0.0,unknown
1763618184.4632688,0,0.04,0.5,1,1,1,205.24,217.70000000000013,134.8,None,None,None,0.0,unknown
1763618184.575207,0,0.04038461538461539,0.5,0,1,1,205.65384615384616,217.60000000000014,135.3846153846154,None,None,None,0.0,unknown
1763618184.71855,0,0.03888888888888889,0.5,0,0,1,206.03703703703704,217.50000000000014,136.11111111111111,None,None,None,0.0,unknown
1763618185.1100569,0,0.04107142857142857,0.5,1,1,1,206.39285714285714,217.40000000000015,136.78571428571428,None,None,None,0.0,unknown
1763618185.38411,0,0.039655172413793106,0.5,0,0,1,206,217.30000000000015,136.3793103448276,None,None,None,0.0,unknown
