Time,ReachedHoldTime,Force,DesiredForce,State,ActualWidth,CommandWidth,Proximity,RawFzL,RawFzR,ForcePrediction,SpringConstant,RLSError,BaselineWidth,Ripeness
1763622017.0030644,0,0.05,0.5,0,0,1,211,220,122.5,None,None,None,0.0,unknown
1763622017.0670137,0,0.05,0.5,1,0,1,209.33333333333334,219.9,115.0,None,None,None,0.0,unknown
1763622017.2282925,0,0.05,0.5,1,0,1,208.5,219.8,113.75,None,None,None,0.0,unknown
1763622017.2804494,0,0.04,0.5,0,0,1,208,219.70000000000002,112.0,None,None,None,0.0,unknown
1763622017.2968547,0,0.058333333333333334,0.5,2,1,1,207.66666666666666,219.60000000000002,111.66666666666667,None,None,None,0.0,unknown
1763622017.3837495,0,0.05,0.5,0,0,1,207.42857142857142,219.50000000000003,110.0,None,None,None,0.0,unknown
1763622017.5102408,0,0.04375,0.5,0,0,1,207.25,219.40000000000003,110.625,None,None,None,0.0,unknown
1763622017.5893123,0,0.044444444444444446,0.5,1,0,1,207.11111111111111,219.30000000000004,110.55555555555556,None,None,None,0.0,unknown
1763622017.6694934,0,0.04,0.5,0,0,1,207,219.20000000000005,110.5,None,None,None,0.0,unknown
1763622017.7313702,0,0.05,0.5,1,2,1,206.9090909090909,219.10000000000005,110.45454545454545,None,None,None,0.0,unknown
1763622017.84452,0,0.05,0.5,1,0,1,206.83333333333334,219.00000000000006,110.41666666666666,None,None,None,0.0,unknown
1763622017.9464223,0,0.05,0.5,1,0,1,206.6153846153846,218.90000000000006,110.76923076923077,None,None,None,0.0,unknown
1763622018.0998287,0,0.05714285714285714,0.5,2,1,1,206.57142857142858,218.80000000000007,110.71428571428572,None,None,None,0.0,unknown
1763622018.1541138,0,0.056666666666666664,0.5,1,0,1,206.53333333333333,218.70000000000007,110.0,None,None,None,0.0,unknown
1763622018.2295601,0,0.053125,0.5,0,0,1,206.5,218.60000000000008,110.3125,None,None,None,0.0,unknown
1763622018.317565,0,0.052941176470588235,0.5,1,0,1,206.47058823529412,218.50000000000009,110.0,None,None,None,0.0,unknown
1763622018.470511,0,0.05,0.5,0,0,1,206.44444444444446,218.4000000000001,110.27777777777777,None,None,None,0.0,unknown
1763622018.5333853,0,0.05,0.5,1,0,1,206.42105263157896,218.3000000000001,110.52631578947368,None,None,None,0.0,unknown
1763622018.6131587,0,0.05,0.5,1,0,1,206.4,218.2000000000001,110.25,None,None,None,0.0,unknown
1763622018.65126,0,0.05,0.5,1,0,1,206.38095238095238,218.1000000000001,110.47619047619048,None,None,None,0.0,unknown
1763622018.7342746,0,0.052272727272727276,0.5,1,1,1,206.36363636363637,218.0000000000001,110.45454545454545,None,None,None,0.0,unknown
1763622018.8053424,0,0.05,0.5,0,0,1,206.34782608695653,217.90000000000012,110.43478260869566,None,None,None,0.0,unknown
1763622018.8817122,0,0.05,0.5,1,0,1,206.33333333333334,217.80000000000013,110.20833333333334,None,None,None,0.0,unknown
1763622018.9902368,0,0.05,0.5,1,0,1,206.32,217.70000000000013,110.19999999999999,None,None,None,0.0,unknown
1763622019.0971286,0,0.05,0.5,1,0,1,206.30769230769232,217.60000000000014,110.19230769230771,None,None,None,0.0,unknown
1763622019.2241967,0,0.05,0.5,1,0,1,206.2962962962963,217.50000000000014,110.0,None,None,None,0.0,unknown
1763622019.286491,0,0.05178571428571429,0.5,2,0,1,206.28571428571428,217.40000000000015,110.17857142857143,None,None,None,0.0,unknown
1763622019.402571,0,0.05172413793103448,0.5,1,0,1,206.27586206896552,217.30000000000015,110.17241379310344,None,None,None,0.0,unknown
1763622019.4513826,0,0.05,0.5,0,0,1,206.26666666666668,217.20000000000016,110.16666666666667,None,None,None,0.0,unknown
1763622019.5952737,0,0.04838709677419355,0.5,0,0,1,206.25806451612902,217.10000000000016,110.16129032258064,None,None,None,0.0,unknown
1763622019.7754874,0,0.046875,0.5,0,0,1,206.25,217.00000000000017,110.0,None,None,None,0.0,unknown
1763622019.8322747,0,0.046969696969696974,0.5,1,0,1,206.24242424242425,216.90000000000018,109.84848484848484,None,None,None,0.0,unknown
1763622019.8833897,0,0.04558823529411765,0.5,0,0,1,206.23529411764707,216.80000000000018,109.70588235294117,None,None,None,0.0,unknown
1763622019.9623437,0,0.045714285714285714,0.5,1,0,1,206.22857142857143,216.7000000000002,109.71428571428571,None,None,None,0.0,unknown
1763622020.0173597,0,0.04583333333333334,0.5,1,0,1,206.22222222222223,216.6000000000002,109.44444444444446,None,None,None,0.0,unknown
1763622020.0296488,0,0.04594594594594595,0.5,1,0,1,206.21621621621622,216.5000000000002,109.45945945945945,None,None,None,0.0,unknown
1763622020.0447729,0,0.04736842105263158,0.5,2,0,1,206.21052631578948,216.4000000000002,109.60526315789474,None,None,None,0.0,unknown
1763622020.0906672,0,0.04871794871794872,0.5,1,1,1,206.2051282051282,216.3000000000002,109.35897435897436,None,None,None,0.0,unknown
1763622020.1195076,0,0.04875,0.5,1,0,1,206.2,216.20000000000022,109.5,None,None,None,0.0,unknown
1763622020.3133168,0,0.05,0.5,2,0,1,206.1951219512195,216.10000000000022,109.51219512195121,None,None,None,0.0,unknown
1763622020.4320185,0,0.05,0.5,1,0,1,206.1904761904762,216.00000000000023,109.52380952380953,None,None,None,0.0,unknown
1763622020.535393,0,0.05,0.5,1,0,1,206.1860465116279,215.90000000000023,109.53488372093022,None,None,None,0.0,unknown
1763622020.5644627,0,0.048863636363636366,0.5,0,0,1,206.1818181818182,215.80000000000024,109.54545454545453,None,None,None,0.0,unknown
1763622020.5987878,0,0.05,0.5,1,1,1,206.17777777777778,215.70000000000024,109.44444444444444,None,None,None,0.0,unknown
1763622020.715586,0,0.05,0.5,1,0,1,206.17391304347825,215.60000000000025,109.34782608695653,None,None,None,0.0,unknown
1763622020.742848,0,0.05,0.5,1,0,1,206.17021276595744,215.50000000000026,109.14893617021276,None,None,None,0.0,unknown
1763622020.9009824,0,0.05,0.5,1,0,1,206.16666666666666,215.40000000000026,109.16666666666667,None,None,None,0.0,unknown
1763622020.959189,0,0.05,0.5,1,0,1,206.3673469387755,215.30000000000027,109.18367346938776,None,None,None,0.0,unknown
1763622021.0387363,0,0.05,0.5,1,0,1,206.36,215.20000000000027,109.30000000000001,None,None,None,0.0,unknown
1763622021.1536756,0,0.049,0.5,1,0,1,206.35294117647058,215.10000000000028,109.31372549019608,None,None,None,0.0,unknown
1763622021.3670344,0,0.05,0.5,1,0,1,206.34615384615384,215.00000000000028,109.32692307692307,None,None,None,0.0,unknown
1763622021.415387,0,0.05,0.5,1,0,1,206.33962264150944,214.9000000000003,109.43396226415095,None,None,None,0.0,unknown
1763622021.5053382,0,0.05,0.5,1,0,1,206.33333333333334,214.8000000000003,109.53703703703704,None,None,None,0.0,unknown
1763622021.5853655,0,0.051000000000000004,0.5,1,0,1,206.3272727272727,214.7000000000003,109.63636363636364,None,None,None,0.0,unknown
1763622021.6534364,0,0.049,0.5,1,0,1,206.32142857142858,214.6000000000003,109.64285714285714,None,None,None,0.0,unknown
1763622021.8372393,0,0.05,0.5,1,0,1,206.31578947368422,214.5000000000003,109.56140350877192,None,None,None,0.0,unknown
1763622021.9047275,0,0.052000000000000005,0.5,2,0,1,206.31034482758622,214.40000000000032,109.48275862068967,None,None,None,0.0,unknown
1763622021.9765563,0,0.051000000000000004,0.5,0,0,1,206.27118644067798,214.30000000000032,109.49152542372882,None,None,None,0.0,unknown
1763622022.098597,0,0.051000000000000004,0.5,0,0,1,206.23333333333332,214.20000000000033,109.5,None,None,None,0.0,unknown
1763622022.2044327,0,0.05,0.5,2,0,1,206.2295081967213,214.10000000000034,109.42622950819673,None,None,None,0.0,unknown
1763622022.2738662,0,0.051000000000000004,0.5,2,0,1,206.2258064516129,214.00000000000034,109.43548387096774,None,None,None,0.0,unknown
1763622022.358061,0,0.051000000000000004,0.5,1,0,1,206.22222222222223,213.90000000000035,109.52380952380953,None,None,None,0.0,unknown
1763622022.416107,0,0.049,0.5,1,0,1,206.21875,213.80000000000035,109.453125,None,None,None,0.0,unknown
1763622022.5188234,0,0.049,0.5,1,0,1,206.2153846153846,213.70000000000036,109.46153846153847,None,None,None,0.0,unknown
1763622022.58455,0,0.05,0.5,1,0,1,206.21212121212122,213.60000000000036,109.46969696969697,None,None,None,0.0,unknown
1763622022.6467135,0,0.049,0.5,0,0,1,206.2089552238806,213.50000000000037,109.4776119402985,None,None,None,0.0,unknown
1763622022.820222,0,0.05,0.5,1,0,1,206.2058823529412,213.40000000000038,109.41176470588235,None,None,None,0.0,unknown
1763622022.8698072,0,0.05,0.5,1,0,1,206.20289855072463,213.30000000000038,109.42028985507247,None,None,None,0.0,unknown
1763622022.9017622,0,0.051000000000000004,0.5,2,0,1,206.2,213.2000000000004,109.35714285714286,None,None,None,0.0,unknown
1763622023.0882394,0,0.052000000000000005,0.5,1,1,1,206.19718309859155,213.1000000000004,109.22535211267606,None,None,None,0.0,unknown
1763622023.155822,0,0.052000000000000005,0.5,2,0,1,206.19444444444446,213.0000000000004,109.16666666666667,None,None,None,0.0,unknown
1763622023.2623808,0,0.054000000000000006,0.5,1,1,1,206.1917808219178,212.9000000000004,109.10958904109589,None,None,None,0.0,unknown
1763622023.3171375,0,0.053000000000000005,0.5,0,0,1,206.1891891891892,212.8000000000004,109.05405405405405,None,None,None,0.0,unknown
1763622023.4846413,0,0.053000000000000005,0.5,1,0,1,206.18666666666667,212.70000000000041,109.0,None,None,None,0.0,unknown
1763622023.4947648,0,0.053000000000000005,0.5,1,0,1,206.18421052631578,212.60000000000042,108.94736842105263,None,None,None,0.0,unknown
1763622023.6322217,0,0.054000000000000006,0.5,0,2,1,206.1818181818182,212.50000000000043,108.96103896103897,None,None,None,0.0,unknown
1763622023.814642,0,0.055,0.5,2,1,1,206.17948717948718,212.40000000000043,108.97435897435898,None,None,None,0.0,unknown
