Time,ReachedHoldTime,Force,DesiredForce,State,ActualWidth,CommandWidth,Proximity,RawFzL,RawFzR,ForcePrediction,SpringConstant,RLSError,BaselineWidth,Ripeness
1762152466.196169,0,0.05,0,1,1,0,391.5,400,492.5,0.0,0.0,0.0,0.0,unknown
1762152466.2063334,0,0.06666666666666667,0,1,1,0,393,400,495.0,0.0,0.0,0.0,0.0,unknown
1762152466.216462,0,0.05,0,0,0,0,393.75,400,497.5,0.0,0.0,0.0,0.0,unknown
1762152466.226595,0,0.05,0,1,0,0,394.2,400,499.0,0.0,0.0,0.0,0.0,unknown
1762152466.2367163,0,0.058333333333333334,0,1,1,0,394.5,400,500.0,0.0,0.0,0.0,0.0,unknown
1762152466.2468193,0,0.07142857142857142,0,2,1,0,394.7142857142857,400,501.42857142857144,0.0,0.0,0.0,0.0,unknown
1762152466.2569265,0,0.075,0,2,0,0,394.875,400,502.5,0.0,0.0,0.0,0.0,unknown
1762152466.267019,0,0.06666666666666667,0,0,0,0,395,400,503.8888888888889,0.0,0.0,0.0,0.0,unknown
1762152466.2771463,1762152466.2781713,0.065,0,1,0,0,395.1,400,504.5,0.0,0.0,0.0,0.0,unknown
1762152466.2872572,1762152466.2781713,0.05909090909090909,0,0,0,0,395.1818181818182,400,505.0,0.0,0.0,0.0,0.0,unknown
1762152466.2973664,1762152466.2781713,0.058333333333333334,0,0,1,0,395.25,400,505.41666666666663,0.0,0.0,0.0,0.0,unknown
1762152466.3074365,1762152466.2781713,0.057692307692307696,0,0,1,0,395.3076923076923,400,506.1538461538462,0.0,0.0,0.0,0.0,unknown
1762152466.3175106,1762152466.2781713,0.05714285714285715,0,1,0,0,395.35714285714283,400,506.7857142857143,0.0,0.0,0.0,0.0,unknown
1762152466.3276074,1762152466.2781713,0.05333333333333334,0,0,0,0,395.4,400,507.6666666666667,0.0,0.0,0.0,0.0,unknown
1762152466.3377125,1762152466.2781713,0.05625,0,1,1,0,395.4375,400,507.8125,0.0,0.0,0.0,0.0,unknown
1762152466.347821,1762152466.2781713,0.052941176470588235,0,0,0,0,395.47058823529414,400,507.94117647058823,0.0,0.0,0.0,0.0,unknown
1762152466.357918,1762152466.2781713,0.05,0,0,0,0,395.5,400,507.7777777777777,0.0,0.0,0.0,0.0,unknown
1762152466.3681986,1762152466.2781713,0.05526315789473684,0,2,1,0,395.5263157894737,400,507.10526315789474,0.0,0.0,0.0,0.0,unknown
1762152466.378326,1762152466.2781713,0.055,0,0,1,0,395.55,400,506.5,0.0,0.0,0.0,0.0,unknown
1762152466.3884263,1762152466.2781713,0.05476190476190476,0,1,0,0,395.57142857142856,400,505.95238095238096,0.0,0.0,0.0,0.0,unknown
