Time,State,X,Y,Z,RX,RY,RZ,F
1755490079.7025805,1,0,0,0,0,0,0,0
1755490090.2141852,0,0,0,0,0,0,0,0
1755490100.739954,0,-0.1,0.52,0.4,-90,-112,0,0
1755490100.7404113,0,-0.1,0.62,0.4,-90,-112,0,0
1755490100.7409258,1,0,0,0,0,0,0,3
