Time,ReachedHoldTime,Force,DesiredForce,State,ActualWidth,CommandWidth,Proximity,RawFzL,RawFzR,ForcePrediction,SpringConstant,RLSError,BaselineWidth,Ripeness
1762152702.1746085,0,0.025,0,0,0,0,692.5,400,695.0,0.0,0.0,0.0,0.0,unknown
1762152702.184715,0,0.016666666666666666,0,0,0,0,590.6666666666666,400,630.0,0.0,0.0,0.0,0.0,unknown
1762152702.194813,0,0.0125,0,0,0,0,539.75,400,598.75,0.0,0.0,0.0,0.0,unknown
1762152702.204902,0,0.01,0,0,0,0,509.2,400,580.0,0.0,0.0,0.0,0.0,unknown
1762152702.215002,0,0.008333333333333333,0,0,0,0,488.8333333333333,400,567.5,0.0,0.0,0.0,0.0,unknown
1762152702.225109,0,0.0071428571428571435,0,0,0,0,474.2857142857143,400,557.8571428571429,0.0,0.0,0.0,0.0,unknown
1762152702.2352126,0,0.0125,0,0,1,0,463.375,400,550.0,0.0,0.0,0.0,0.0,unknown
1762152702.2452972,0,0.016666666666666666,0,1,0,0,454.8888888888889,400,544.4444444444445,0.0,0.0,0.0,0.0,unknown
1762152702.2554114,0,0.015000000000000001,0,0,0,0,448.1,400,539.5,0.0,0.0,0.0,0.0,unknown
1762152702.2655342,0,0.013636363636363637,0,0,0,0,443,400,535.909090909091,0.0,0.0,0.0,0.0,unknown
1762152702.2756226,0,0.0125,0,0,0,0,438.3333333333333,400,532.5,0.0,0.0,0.0,0.0,unknown
1762152702.2857516,0,0.015384615384615385,0,0,1,0,434.38461538461536,400,529.6153846153846,0.0,0.0,0.0,0.0,unknown
1762152702.2958462,0,0.014285714285714287,0,0,0,0,431,400,527.1428571428571,0.0,0.0,0.0,0.0,unknown
1762152702.3059442,0,0.013333333333333334,0,0,0,0,428.4,400,525.0,0.0,0.0,0.0,0.0,unknown
1762152702.3160498,0,0.0125,0,0,0,0,425.8125,400,523.4375,0.0,0.0,0.0,0.0,unknown
1762152702.3261452,0,0.011764705882352941,0,0,0,0,423.52941176470586,400,522.3529411764706,0.0,0.0,0.0,0.0,unknown
1762152702.336228,0,0.011111111111111112,0,0,0,0,421.5,400,520.8333333333334,0.0,0.0,0.0,0.0,unknown
1762152702.3463132,0,0.010526315789473684,0,0,0,0,419.6842105263158,400,519.2105263157895,0.0,0.0,0.0,0.0,unknown
1762152702.3563838,0,0.0125,0,1,0,0,418.05,400,517.75,0.0,0.0,0.0,0.0,unknown
1762152702.3664927,0,0.014285714285714287,0,1,0,0,416.57142857142856,400,516.6666666666667,0.0,0.0,0.0,0.0,unknown
1762152702.3766162,0,0.018181818181818184,0,0,2,0,415.22727272727275,400,515.909090909091,0.0,0.0,0.0,0.0,unknown
1762152702.3867266,0,0.01956521739130435,0,1,0,0,414,400,515.2173913043478,0.0,0.0,0.0,0.0,unknown
1762152702.3968272,0,0.020833333333333336,0,0,1,0,412.875,400,514.5833333333334,0.0,0.0,0.0,0.0,unknown
1762152702.4069352,0,0.022000000000000002,0,0,1,0,411.84,400,513.8,0.0,0.0,0.0,0.0,unknown
1762152702.4170325,0,0.021153846153846155,0,0,0,0,410.88461538461536,400,513.0769230769231,0.0,0.0,0.0,0.0,unknown
1762152702.4271634,0,0.022222222222222223,0,0,1,0,410,400,512.5925925925926,0.0,0.0,0.0,0.0,unknown
1762152702.4372938,0,0.025,0,0,2,0,409.17857142857144,400,512.1428571428571,0.0,0.0,0.0,0.0,unknown
1762152702.4473922,0,0.02413793103448276,0,0,0,0,408.41379310344826,400,511.7241379310345,0.0,0.0,0.0,0.0,unknown
1762152702.4574814,0,0.023333333333333334,0,0,0,0,407.7,400,511.3333333333333,0.0,0.0,0.0,0.0,unknown
1762152702.467681,0,0.022580645161290325,0,0,0,0,407.03225806451616,400,510.80645161290323,0.0,0.0,0.0,0.0,unknown
1762152702.4777706,0,0.021875000000000002,0,0,0,0,406.40625,400,510.15625,0.0,0.0,0.0,0.0,unknown
1762152702.487852,0,0.022727272727272728,0,0,1,0,405.8181818181818,400,509.54545454545456,0.0,0.0,0.0,0.0,unknown
1762152702.4979491,0,0.022058823529411766,0,0,0,0,405.2647058823529,400,508.97058823529414,0.0,0.0,0.0,0.0,unknown
1762152702.5080914,1762152702.508924,0.022857142857142857,0,1,0,0,404.74285714285713,400,508.57142857142856,0.0,0.0,0.0,0.0,unknown
1762152702.5182078,1762152702.508924,0.023611111111111114,0,1,0,0,404.25,400,508.19444444444446,0.0,0.0,0.0,0.0,unknown
1762152702.5282958,1762152702.508924,0.025675675675675677,0,1,1,0,403.7837837837838,400,507.97297297297297,0.0,0.0,0.0,0.0,unknown
1762152702.5383897,1762152702.508924,0.026315789473684213,0,1,0,0,403.3421052631579,400,507.5,0.0,0.0,0.0,0.0,unknown
