Time,State,X,Y,Z,RX,RY,RZ,F,Valid
1763110566.5850947,Action.GRIP,0,0,0,0,0,0,0,1
1763110577.2005208,Action.MOVE,0.053,0.5,0.4,-90,68,0,0,1
1763110586.780753,Action.MOVE,0.11662904206746935,0.5302509031216875,0.44386331349133773,-90,-18,0,0,1
1763110619.2995758,Action.MOVE,0.03662904206746934,0.6302509031216875,0.4861192548972301,-90,68,0,0,1
1763110696.6345475,Action.MOVE,0.03662904206746934,0.6802509031216876,0.4861192548972301,-90,68,0,0,1
1763110700.3425183,Action.GRIP,0,0,0,0,0,0,0.5,1
1763110857.9389484,Action.MOVE,0.03662904206746934,0.6802509031216876,0.43611925489723014,-90,68,0,0,1
1763110863.2292776,Action.MOVE,0.03662904206746934,0.6302509031216875,0.43611925489723014,-90,68,0,0,1
1763110868.2242346,Action.MOVE,-0.3,0.0,0.35,-179.5,0,0,0,1
1763110902.8763766,Action.MOVE,-0.3,0.0,0.2,-179.5,0,0,0,1
1763110919.4203901,Action.GRIP,0,0,0,0,0,0,0.0,1
1763110919.9960554,Action.MOVE,-0.3,0.0,0.35,-179.5,0,0,0,1
