Time,ReachedHoldTime,Force,DesiredForce,State,ActualWidth,CommandWidth,Proximity,RawFzL,RawFzR
1758153789.6719525,0,0.05,0,0,829,670,587.5,1,0
1758153789.6821399,0,0.06666666666666667,0,0,771,670,465.0,2,0
1758153789.6923153,0,0.0625,0,0,742,670,403.75,1,0
1758153789.7022727,0,0.08,0,0,724.6,670,367.0,2,1
1758153789.7124627,0,0.075,0,0,713.1666666666666,670,343.33333333333337,1,0
1758153789.7224414,0,0.0642857142857143,0,0,705,670,326.42857142857144,0,0
1758153789.7326157,0,0.06875,0,0,698.875,670,312.5,2,0
1758153789.74306,0,0.07222222222222223,0,0,694,670,301.66666666666663,2,0
1758153789.7529876,0,0.075,0,0,690.2,670,292.5,2,0
1758153789.76336,0,0.07727272727272727,0,0,687.0909090909091,670,285.0,1,1
1758153789.773274,0,0.075,0,0,684.5,670,278.33333333333337,1,0
1758153789.7838206,0,0.08076923076923077,0,0,682.6153846153846,670,272.30769230769226,2,1
1758153789.7937207,0,0.08214285714285714,0,0,681,670,267.5,0,2
1758153789.8038802,0,0.08333333333333334,0,0,679.6,670,263.3333333333333,1,1
1758153789.8138068,0,0.078125,0,0,678.375,670,259.6875,0,0
1758153789.8239489,0,0.07352941176470588,0,0,677,670,256.7647058823529,0,0
1758153789.833943,0,0.07222222222222223,0,0,675.8333333333334,670,253.8888888888889,1,0
1758153789.844315,1758153789.8443134,0.06842105263157895,0,0,674.7368421052631,670,251.0526315789474,0,0
1758153789.8543746,1758153789.8443134,0.065,0,0,673.8,670,248.5,0,0
1758153789.8647692,1758153789.8443134,0.0642857142857143,0,0,672.952380952381,670,246.19047619047618,1,0
1758153789.8746471,1758153789.8443134,0.06590909090909092,0,0,672.3636363636364,670,244.3181818181818,2,0
1758153789.8851652,1758153789.8443134,0.06304347826086956,0,0,671.6521739130435,670,242.60869565217394,0,0
1758153789.8953314,1758153789.8443134,0.0625,0,0,671,670,241.04166666666669,1,0
1758153789.905532,1758153789.8443134,0.064,0,0,670.56,670,239.8,2,0
1758153789.9154634,1758153789.8443134,0.06538461538461539,0,0,670.1538461538462,670,238.65384615384613,2,0
1758153789.9256315,1758153789.8443134,0.06666666666666667,0,0,669.6296296296297,670,237.5925925925926,1,1
1758153789.9356585,1758153789.8443134,0.06785714285714287,0,0,669.1428571428571,670,236.60714285714286,2,0
1758153789.945675,1758153789.8443134,0.06724137931034484,0,0,668.6896551724138,670,235.68965517241378,1,0
1758153789.9558446,1758153789.8443134,0.06666666666666667,0,0,668.2333333333333,670,234.83333333333331,1,0
1758153789.965972,1758153789.8443134,0.06774193548387097,0,0,667.8064516129032,670,234.03225806451613,1,1
1758153789.9768903,0,0.0671875,1.5,2,667.40625,670,233.28125,1,0
1758153789.9870088,0,0.06818181818181819,1.5,2,667.060606060606,669.9,232.42424242424244,2,0
1758153789.9970698,0,0.06764705882352942,1.5,2,666.7058823529412,669.8,231.61764705882354,0,1
1758153790.0071013,0,0.06571428571428571,1.5,2,666.4,669.6999999999999,231.0,0,0
1758153790.0174127,0,0.06527777777777778,1.5,2,666.1111111111111,669.5999999999999,230.41666666666666,0,1
1758153790.0272894,0,0.06486486486486487,1.5,2,665.8108108108108,669.4999999999999,229.86486486486484,1,0
1758153790.0374732,0,0.06578947368421052,1.5,2,665.6578947368421,669.3999999999999,229.3421052631579,1,1
1758153790.0475092,0,0.06538461538461539,1.5,2,665.5128205128206,669.2999999999998,228.71794871794873,0,1
1758153790.057805,0,0.065,1.5,2,665.25,669.1999999999998,228.125,0,1
1758153790.0675497,0,0.06341463414634146,1.5,2,665,669.0999999999998,227.5609756097561,0,0
1758153790.0777068,0,0.06190476190476191,1.5,2,664.7619047619048,668.9999999999998,227.02380952380952,0,0
1758153790.087865,0,0.06162790697674419,1.5,2,664.6511627906976,668.8999999999997,226.51162790697674,1,0
1758153790.098048,0,0.0625,1.5,2,664.5454545454545,668.7999999999997,226.02272727272728,2,0
1758153790.1083379,0,0.06444444444444444,1.5,2,664.3333333333334,668.6999999999997,225.44444444444446,2,1
1758153790.118454,0,0.06304347826086956,1.5,2,664.1521739130435,668.5999999999997,224.89130434782606,0,0
1758153790.1284416,0,0.061702127659574474,1.5,2,664.063829787234,668.4999999999997,224.36170212765956,0,0
1758153790.1384258,0,0.06041666666666667,1.5,2,663.875,668.3999999999996,223.85416666666669,0,0
1758153790.1485205,0,0.05918367346938776,1.5,2,663.795918367347,668.2999999999996,223.46938775510205,0,0
1758153790.158747,0,0.058,1.5,2,663.62,668.1999999999996,223.0,0,0
1758153790.1687143,0,0.05784313725490196,1.5,2,663.5490196078431,668.0999999999996,222.54901960784315,1,0
1758153790.1787968,0,0.05673076923076923,1.5,2,663.5961538461538,667.9999999999995,222.11538461538464,0,0
1758153790.1893067,0,0.05849056603773585,1.5,2,663.4528301886793,667.8999999999995,221.60377358490567,2,1
1758153790.199167,0,0.05925925925925926,1.5,2,663.3888888888889,667.7999999999995,221.11111111111111,2,0
1758153790.2094336,0,0.05909090909090909,1.5,2,663.2545454545455,667.6999999999995,220.54545454545456,1,0
1758153790.2193625,0,0.059821428571428574,1.5,2,663.125,667.5999999999995,220.08928571428572,2,0
1758153790.2294536,0,0.058771929824561406,1.5,2,662.9824561403509,667.4999999999994,219.64912280701753,0,0
1758153790.2395554,0,0.05775862068965518,1.5,2,662.8448275862069,667.3999999999994,219.31034482758622,0,0
1758153790.2496243,0,0.0576271186440678,1.5,2,663.1694915254237,667.2999999999994,219.0677966101695,1,0
1758153790.2597854,0,0.05666666666666667,1.5,2,662.9,667.1999999999994,218.75,0,0
1758153790.2702222,0,0.05573770491803279,1.5,2,662.7049180327868,667.0999999999993,218.44262295081967,0,0
1758153790.2803748,0,0.055645161290322584,1.5,2,662.5806451612904,666.9999999999993,218.14516129032256,1,0
1758153790.290566,0,0.05555555555555556,1.5,2,662.4603174603175,666.8999999999993,217.85714285714286,1,0
1758153790.3008313,0,0.0546875,1.5,2,662.34375,666.7999999999993,217.5,0,0
1758153790.3109417,0,0.054615384615384614,1.5,2,662.2307692307693,666.6999999999992,217.15384615384613,0,1
1758153790.3208897,0,0.05378787878787879,1.5,2,662.1212121212121,666.5999999999992,216.8181818181818,0,0
1758153790.3308997,0,0.05447761194029851,1.5,2,662.0149253731344,666.4999999999992,216.56716417910445,1,1
1758153790.3411927,0,0.054411764705882354,1.5,2,661.9117647058823,666.3999999999992,216.3235294117647,1,0
1758153790.3510947,0,0.05434782608695653,1.5,2,661.8115942028985,666.2999999999992,216.08695652173913,1,0
1758153790.3613157,0,0.055,1.5,2,661.6571428571428,666.1999999999991,215.92857142857144,1,1
1758153790.3713477,0,0.05563380281690141,1.5,2,661.5633802816901,666.0999999999991,215.77464788732394,1,1
1758153790.3819416,0,0.05486111111111111,1.5,2,661.4166666666666,665.9999999999991,215.625,0,0
1758153790.3918176,0,0.05547945205479452,1.5,2,661.4931506849315,665.8999999999991,215.41095890410958,2,0
1758153790.4022288,0,0.05540540540540541,1.5,2,661.4054054054054,665.799999999999,215.2027027027027,1,0
1758153790.4121275,0,0.05533333333333334,1.5,2,661.32,665.699999999999,214.93333333333334,1,0
1758153790.4224946,0,0.05526315789473685,1.5,2,661.1842105263158,665.599999999999,214.67105263157896,0,1
1758153790.432558,0,0.0551948051948052,1.5,2,661.1038961038961,665.499999999999,214.4805194805195,1,0
1758153790.443043,0,0.055128205128205134,1.5,2,661.025641025641,665.399999999999,214.35897435897436,1,0
1758153790.452917,0,0.055696202531645575,1.5,2,660.9493670886076,665.2999999999989,214.24050632911394,2,0
1758153790.4632323,0,0.055625,1.5,2,660.875,665.1999999999989,214.1875,1,0
1758153790.4733543,0,0.05617283950617284,1.5,2,660.7530864197531,665.0999999999989,214.1358024691358,2,0
1758153790.4837418,0,0.056707317073170734,1.5,2,660.6829268292682,664.9999999999989,214.08536585365852,2,0
1758153790.4935842,0,0.057228915662650606,1.5,2,660.6144578313254,664.8999999999988,213.97590361445782,1,1
1758153790.5041058,0,0.05714285714285715,1.5,2,660.547619047619,664.7999999999988,213.86904761904762,0,1
1758153790.5141528,0,0.057058823529411766,1.5,2,660.4823529411765,664.6999999999988,213.76470588235293,0,1
1758153790.524429,0,0.05639534883720931,1.5,2,660.4186046511628,664.5999999999988,213.60465116279067,0,0
1758153790.5344303,0,0.05632183908045977,1.5,2,660.3563218390805,664.4999999999987,213.5057471264368,0,1
1758153790.544564,0,0.05625,1.5,2,660.2954545454545,664.3999999999987,213.35227272727272,1,0
1758153790.554803,0,0.05617977528089888,1.5,2,660.1910112359551,664.2999999999987,213.20224719101122,0,1
1758153790.5646331,0,0.05611111111111111,1.5,2,660.0888888888888,664.1999999999987,213.05555555555554,1,0
