Time,ReachedHoldTime,Force,DesiredForce,State,ActualWidth,CommandWidth,Proximity,RawFzL,RawFzR
1758156269.2523608,0,0.025,0,0,589,670,457.5,1,0
1758156269.262611,0,0.06666666666666667,0,0,618,670,385.0,2,1
1758156269.2728004,0,0.0875,0,0,630.25,670,350.0,2,1
1758156269.2828686,0,0.09,0,0,639.4,670,329.0,2,0
1758156269.2929716,0,0.09166666666666667,0,0,645.5,670,315.0,2,0
1758156269.3033934,0,0.09285714285714286,0,0,649.8571428571429,670,305.0,2,0
1758156269.3136666,0,0.09375,0,0,653.125,670,297.5,2,0
1758156269.3237448,0,0.1,0,0,655.6666666666666,670,291.6666666666667,3,0
1758156269.3341408,0,0.105,0,0,657.7,670,287.0,3,0
1758156269.3442733,0,0.10909090909090909,0,0,659.3636363636364,670,283.1818181818182,2,1
1758156269.3544002,0,0.10833333333333334,0,0,660.75,670,280.41666666666663,2,0
1758156269.3646247,0,0.1076923076923077,0,0,661.9230769230769,670,278.0769230769231,2,0
1758156269.3747663,0,0.11071428571428571,0,0,662.9285714285714,670,276.07142857142856,3,0
1758156269.3850486,0,0.11,0,0,663.8,670,274.6666666666667,2,0
1758156269.3952699,0,0.10625,0,0,664.5625,670,273.125,1,0
1758156269.4057019,1758156269.4056995,0.10588235294117647,0,0,665.2352941176471,670,271.47058823529414,2,0
1758156269.4159336,1758156269.4056995,0.10277777777777777,0,0,665.3333333333334,670,270.27777777777777,1,0
1758156269.4260442,1758156269.4056995,0.10526315789473684,0,0,665.8947368421053,670,268.9473684210526,1,2
1758156269.4363139,1758156269.4056995,0.10250000000000001,0,0,666.4,670,267.75,1,0
1758156269.4463217,1758156269.4056995,0.1,0,0,666.8571428571429,670,266.9047619047619,1,0
1758156269.4563763,1758156269.4056995,0.1,0,0,666.8636363636364,670,266.1363636363636,1,1
1758156269.4666827,1758156269.4056995,0.09782608695652174,0,0,667.2608695652174,670,265.4347826086956,1,0
1758156269.4770465,1758156269.4056995,0.1,0,0,667.625,670,264.58333333333337,2,1
1758156269.4872274,1758156269.4056995,0.1,0,0,667.96,670,263.6,1,1
1758156269.4975338,1758156269.4056995,0.10192307692307692,0,0,668.2692307692307,670,262.6923076923077,2,1
1758156269.5078282,1758156269.4056995,0.1,0,0,668.5555555555555,670,261.85185185185185,1,0
1758156269.5180583,1758156269.4056995,0.1,0,0,668.8214285714286,670,261.07142857142856,2,0
1758156269.528305,1758156269.4056995,0.1,0,0,669.2068965517242,670,260.51724137931035,2,0
1758156269.538535,1758156269.4056995,0.1,0,0,669.4,670,260.1666666666667,2,0
1758156269.5488691,0,0.1,1.5,2,669.6129032258065,670,259.83870967741933,2,0
1758156269.5591292,0,0.0984375,1.5,2,669.8125,669.9,259.375,1,0
1758156269.5695572,0,0.09848484848484848,1.5,2,670,669.8,258.78787878787875,2,0
1758156269.5793707,0,0.09705882352941177,1.5,2,670.1764705882352,669.6999999999999,258.2352941176471,1,0
1758156269.5898428,0,0.09857142857142857,1.5,2,670.3428571428572,669.5999999999999,257.7142857142857,2,1
1758156269.5995824,0,0.09861111111111111,1.5,2,670.5,669.4999999999999,257.3611111111111,1,1
1758156269.6101866,0,0.1,1.5,2,670.6486486486486,669.3999999999999,257.02702702702703,3,0
1758156269.6202977,0,0.09868421052631579,1.5,2,670.7894736842105,669.2999999999998,256.7105263157895,1,0
1758156269.6307292,0,0.09871794871794871,1.5,2,670.9230769230769,669.1999999999998,256.28205128205127,2,0
1758156269.640622,0,0.0975,1.5,2,671.05,669.0999999999998,256.0,1,0
1758156269.6507885,0,0.09634146341463415,1.5,2,671.3170731707318,668.9999999999998,255.609756097561,1,0
1758156269.6608226,0,0.09523809523809523,1.5,2,671.4285714285714,668.8999999999997,255.35714285714283,1,0
1758156269.6709652,0,0.09651162790697675,1.5,2,671.5348837209302,668.7999999999997,255.2325581395349,3,0
1758156269.6811752,0,0.09659090909090909,1.5,2,671.6363636363636,668.6999999999997,255.22727272727272,2,0
1758156269.6910396,0,0.09555555555555556,1.5,2,671.7333333333333,668.5999999999997,255.11111111111111,1,0
1758156269.7012074,0,0.0967391304347826,1.5,2,671.8260869565217,668.4999999999997,255.0,2,1
1758156269.7113552,0,0.09680851063829787,1.5,2,671.7234042553191,668.3999999999996,254.68085106382978,2,0
1758156269.721409,0,0.09791666666666667,1.5,2,671.625,668.2999999999996,254.27083333333331,3,0
1758156269.7316213,0,0.09795918367346938,1.5,2,671.2857142857143,668.1999999999996,253.8775510204082,1,1
1758156269.7418044,0,0.099,1.5,2,671.06,668.0999999999996,253.39999999999998,2,1
1758156269.75197,0,0.09901960784313725,1.5,2,670.7450980392157,667.9999999999995,252.84313725490196,2,0
