PositionError,OrientationError
0.4303153523250555,2.5559148648054033
0.2731667641300561,2.133983826556022
0.16458150369642024,1.7629395702537767
0.10027269296607567,1.4554376600162338
0.0660548081586173,1.201666506536083
0.04683760333257771,0.9923143299231642
0.03464711483089577,0.8197492763667075
0.025827849457041727,0.6776372230598596
0.01902512764925962,0.5607120337549847
0.013852472716170383,0.4645710175735421
0.01011896955966569,0.3855147415825555
0.007570156386636128,0.3204411862790202
0.005885636994074595,0.2667644487008081
0.004745959043386523,0.22234523337652368
0.0039022035210378456,0.1854355325877831
0.003206632807910611,0.15463399996059868
0.0025960091049194727,0.12884078874416646
0.0020557713180093394,0.1072033042174182
0.0015896485582812077,0.0890553940785741
0.0012021035997185309,0.07386114694748176
0.0008917338966245552,0.06117321968327063
0.0006512019053411009,0.05060781324711108
0.00046971115731131815,0.04183198657346561
0.00033558929343325893,0.03455743690101297
0.0002380219088325793,0.028536536823880475
0.00016787532852505986,0.02355863106595135
0.00011788231851273652,0.019446060288071373
8.248612194399908e-05,0.016050018024844414
5.7550879172177574e-05,0.013246494889399964
4.005474295814143e-05,0.01093251434738728
2.781810785704226e-05,0.009022772354450335
1.9283235350546074e-05,0.007446717262231592
1.3344306311791942e-05,0.006146058185314459
9.220334708158118e-06,0.005072664721379173
6.3619930250213035e-06,0.004186810755703114
4.384196865820678e-06,0.0034557136844527115
3.0177745672884993e-06,0.0028523234694172056
2.0750517103473184e-06,0.002354320945841057
1.4254711990588105e-06,0.0019432903181753171
9.783949734122006e-07,0.0016040360901194305
6.710148199734232e-07,0.0013240194684181494
4.5988074385922594e-07,0.0010928934483559094
3.1498070521950017e-07,0.0009021193313991012
