PositionError,OrientationError
0.10132790415003576,0.00452684910280848
0.06029576297299624,0.004085279327074976
0.036205052167459464,0.0035387988135532063
0.021777912680787402,0.0029434650854642573
0.013096688920758442,0.0024207884985982253
0.007871058068085312,0.0019897126134641313
0.0047278151101795415,0.0016378352163124363
0.0028386491480341305,0.0013498979767891188
0.0017039095309242574,0.0011134291655899326
0.0010226044199580476,0.0009187542089979306
0.0006136630190422591,0.000918655019568602
0.0003682342043762886,0.0009186184179910342
0.00022095368053295299,0.0009186050435137096
0.0001325769573726886,0.0009186001854248831
7.954788672119391e-05,0.0009185984269054534
4.772934902991697e-05,0.0009185977919038644
2.8637831660194688e-05,0.0009185975627520602
1.718277902995282e-05,0.0009185974803250786
1.0309696235844193e-05,0.000918597450351629
6.185828117180943e-06,0.0009185974399576099
3.7115006059950582e-06,0.0009185974358483465
2.226901708443644e-06,0.0009185974343980183
1.3361415090617135e-06,0.0009185974339145755
8.016850797207618e-07,0.0009185974339145755
