Observe_X,Observe_Y,Observe_Z,Est_X,Est_Y,Est_Z,Rev_X,Rev_Y,Rev_Z
0.205,0.2,0.49,0.2349293621806725,0.684672931435861,0.57,0.2349293621806725,0.684672931435861,0.4608909554186417
0.156,0.221,0.326,0.18910819744336896,0.6980146508376229,0.406,0.18910819744336896,0.6980146508376229,0.46358238756464215
0.219,0.299,0.459,0.1694549187343714,0.6955828964403676,0.539,0.1694549187343714,0.6955828964403676,0.4579143915769251
0.217,0.328,0.393,0.17777984169816338,0.6989457089604478,0.47300000000000003,0.17777984169816338,0.6989457089604478,0.45349297774657515
0.31,0.312,0.411,0.17948370535138974,0.7030642628879282,0.491,0.17948370535138974,0.7030642628879282,0.4547696863195144
