PositionError,OrientationError
0.09832235417068,0.005601202056063007
0.06087113202305434,0.029161449513347922
0.03735026824366188,0.03131989774110885
0.022670717737281295,0.027782449763755324
0.013682595327493028,0.023438637694192764
0.008232997329659717,0.01946491885105839
0.004945265712151389,0.016082762503428202
0.0029671527014512263,0.013268413307802266
0.0017788944177152116,0.01094344995338631
0.0010658413091482494,0.009026666559559006
0.0006382651916239509,0.007446848937021096
0.00038202154457509977,0.006144462722036751
0.00022853372347630095,0.005070451513619889
0.00013663947289012894,0.004184529450974942
8.164796676140993e-05,0.0034536076714188233
4.8756313471554146e-05,0.002850479688471611
2.9093697499175283e-05,0.002352751647333603
1.7346379468207978e-05,0.0019419753712217342
1.0332663092273161e-05,0.001602943874011173
6.148259382892147e-06,0.0013231166266848787
3.6539414572755913e-06,0.0010921490494595178
2.1685119557059235e-06,0.0009015063272790556
1.3011076684762364e-06,0.0009015063336829602
7.806647792023524e-07,0.0009015063358996963
