Time,ReachedHoldTime,Force,DesiredForce,State,ActualWidth,CommandWidth,Proximity,RawFzL,RawFzR,ForcePrediction,SpringConstant,RLSError,BaselineWidth,Ripeness
1762156467.5681918,0,0.0,0,0,0,0,697,400,715.0,0.0,0.0,0.0,0.0,unknown
1762156467.5782595,0,0.0,0,0,0,0,596.6666666666666,400,651.6666666666667,0.0,0.0,0.0,0.0,unknown
1762156467.5883222,0,0.0,0,0,0,0,546.5,400,620.0,0.0,0.0,0.0,0.0,unknown
1762156467.5983899,0,0.0,0,0,0,0,516.4,400,601.0,0.0,0.0,0.0,0.0,unknown
1762156467.6084638,0,0.0,0,0,0,0,496.3333333333333,400,587.5,0.0,0.0,0.0,0.0,unknown
1762156467.6185548,0,0.0071428571428571435,0,1,0,0,482,400,577.8571428571429,0.0,0.0,0.0,0.0,unknown
1762156467.6286573,0,0.0125,0,0,1,0,471.25,400,570.625,0.0,0.0,0.0,0.0,unknown
1762156467.63873,0,0.011111111111111112,0,0,0,0,462.8888888888889,400,566.1111111111111,0.0,0.0,0.0,0.0,unknown
1762156467.648813,0,0.01,0,0,0,0,456.2,400,562.5,0.0,0.0,0.0,0.0,unknown
1762156467.6589174,0,0.009090909090909092,0,0,0,0,450.72727272727275,400,559.5454545454545,0.0,0.0,0.0,0.0,unknown
1762156467.6690183,0,0.008333333333333333,0,0,0,0,446.1666666666667,400,556.25,0.0,0.0,0.0,0.0,unknown
1762156467.6791182,0,0.011538461538461539,0,0,1,0,442.3076923076923,400,553.8461538461538,0.0,0.0,0.0,0.0,unknown
1762156467.6892962,0,0.014285714285714287,0,0,1,0,439,400,551.7857142857142,0.0,0.0,0.0,0.0,unknown
1762156467.699397,0,0.023333333333333334,0,1,2,0,436.1333333333333,400,550.3333333333333,0.0,0.0,0.0,0.0,unknown
1762156467.709604,0,0.025,0,0,1,0,433.625,400,549.0625,0.0,0.0,0.0,0.0,unknown
1762156467.7197006,0,0.029411764705882353,0,1,1,0,431.4117647058824,400,547.9411764705883,0.0,0.0,0.0,0.0,unknown
