Time,ReachedHoldTime,Force,DesiredForce,State,ActualWidth,CommandWidth,Proximity,RawFzL,RawFzR,ForcePrediction,SpringConstant,RLSError,BaselineWidth,Ripeness
1763613476.0946262,0,0.05,0.3,2,0,1,216,220,180.0,None,None,None,0.0,unknown
1763613476.199814,0,0.05,0.3,1,0,1,216,219.9,181.66666666666669,None,None,None,0.0,unknown
1763613476.330457,0,0.037500000000000006,0.3,0,0,1,216,219.8,181.25,None,None,None,0.0,unknown
1763613476.4013343,0,0.04,0.3,0,1,1,216,219.70000000000002,181.0,None,None,None,0.0,unknown
1763613476.6102788,0,0.04166666666666667,0.3,1,0,1,216,219.60000000000002,182.5,None,None,None,0.0,unknown
1763613476.879043,0,0.04285714285714286,0.3,1,0,1,216,219.50000000000003,182.85714285714286,None,None,None,0.0,unknown
1763613476.9707325,0,0.043750000000000004,0.3,1,0,1,216,219.40000000000003,181.25,None,None,None,0.0,unknown
1763613477.102719,0,0.03888888888888889,0.3,0,0,1,213.66666666666666,219.30000000000004,180.0,None,None,None,0.0,unknown
1763613477.1721644,0,0.035,0.3,0,0,1,211.8,219.20000000000005,179.0,None,None,None,0.0,unknown
1763613477.253359,0,0.03636363636363637,0.3,1,0,1,210.27272727272728,219.10000000000005,179.54545454545456,None,None,None,0.0,unknown
1763613477.319924,0,0.037500000000000006,0.3,1,0,1,209,219.00000000000006,179.16666666666669,None,None,None,0.0,unknown
1763613477.4184532,0,0.03461538461538462,0.3,0,0,1,207.92307692307693,218.90000000000006,179.23076923076923,None,None,None,0.0,unknown
1763613477.631538,0,0.03214285714285715,0.3,0,0,1,207,218.80000000000007,177.85714285714286,None,None,None,0.0,unknown
1763613477.943381,0,0.030000000000000002,0.3,0,0,1,206.2,218.70000000000007,175.33333333333334,None,None,None,0.0,unknown
1763613478.0463428,0,0.028125,0.3,0,0,1,205.5,218.60000000000008,173.75,None,None,None,0.0,unknown
1763613478.251195,0,0.03235294117647059,0.3,1,1,1,204.88235294117646,218.50000000000009,172.05882352941177,None,None,None,0.0,unknown
1763613478.4039345,0,0.03333333333333333,0.3,1,0,1,204.33333333333334,218.4000000000001,170.83333333333331,None,None,None,0.0,unknown
1763613478.4217048,0,0.034210526315789476,0.3,1,0,1,203.8421052631579,218.3000000000001,169.73684210526315,None,None,None,0.0,unknown
1763613478.5382323,0,0.035,0.3,1,0,1,203.4,218.2000000000001,168.75,None,None,None,0.0,unknown
1763613478.69724,0,0.03571428571428572,0.3,1,0,1,203,218.1000000000001,167.38095238095238,None,None,None,0.0,unknown
1763613478.877628,0,0.03636363636363637,0.3,1,0,1,202.63636363636363,218.0000000000001,166.13636363636363,None,None,None,0.0,unknown
1763613478.9500604,0,0.034782608695652174,0.3,0,0,1,202.30434782608697,217.90000000000012,165.2173913043478,None,None,None,0.0,unknown
1763613479.1087375,0,0.03333333333333333,0.3,0,0,1,202,217.80000000000013,164.16666666666669,None,None,None,0.0,unknown
1763613479.3518255,0,0.034,0.3,1,0,1,201.72,217.70000000000013,163.2,None,None,None,0.0,unknown
1763613479.4494967,0,0.03653846153846154,0.3,1,1,1,201.46153846153845,217.60000000000014,162.5,None,None,None,0.0,unknown
1763613479.524801,0,0.03518518518518519,0.3,0,0,1,201.22222222222223,217.50000000000014,161.66666666666669,None,None,None,0.0,unknown
1763613479.6387887,0,0.03571428571428572,0.3,1,0,1,201,217.40000000000015,161.07142857142856,None,None,None,0.0,unknown
1763613479.8471615,0,0.03620689655172414,0.3,1,0,1,200.79310344827587,217.30000000000015,160.68965517241378,None,None,None,0.0,unknown
1763613479.8987315,0,0.03666666666666667,0.3,1,0,1,200.6,217.20000000000016,160.16666666666669,None,None,None,0.0,unknown
1763613480.005273,0,0.03709677419354839,0.3,1,0,1,200.41935483870967,217.10000000000016,159.67741935483872,None,None,None,0.0,unknown
1763613480.1553555,0,0.035937500000000004,0.3,0,0,1,200.25,217.00000000000017,159.375,None,None,None,0.0,unknown
1763613480.3030472,0,0.03484848484848485,0.3,0,0,1,200.0909090909091,216.90000000000018,158.78787878787878,None,None,None,0.0,unknown
1763613480.3672323,0,0.03676470588235294,0.3,2,0,1,199.94117647058823,216.80000000000018,158.38235294117646,None,None,None,0.0,unknown
1763613480.528666,0,0.03571428571428572,0.3,0,0,1,199.8,216.7000000000002,158.42857142857142,None,None,None,0.0,unknown
1763613480.5745811,0,0.036111111111111115,0.3,1,0,1,199.66666666666666,216.6000000000002,158.61111111111111,None,None,None,0.0,unknown
1763613480.6377668,0,0.03648648648648649,0.3,1,0,1,199.54054054054055,216.5000000000002,158.64864864864865,None,None,None,0.0,unknown
1763613480.88458,0,0.0368421052631579,0.3,1,0,1,199.42105263157896,216.4000000000002,158.28947368421052,None,None,None,0.0,unknown
1763613481.04604,0,0.038461538461538464,0.3,2,0,1,199.30769230769232,216.3000000000002,157.94871794871796,None,None,None,0.0,unknown
1763613481.2384992,0,0.04,0.3,2,0,1,199.2,216.20000000000022,157.375,None,None,None,0.0,unknown
1763613481.3055186,0,0.03902439024390244,0.3,0,0,1,199.09756097560975,216.10000000000022,156.9512195121951,None,None,None,0.0,unknown
1763613481.4547272,0,0.0380952380952381,0.3,0,0,1,199,216.00000000000023,156.42857142857144,None,None,None,0.0,unknown
1763613481.5795376,0,0.03837209302325582,0.3,0,1,1,198.90697674418604,215.90000000000023,155.93023255813952,None,None,None,0.0,unknown
1763613481.7004547,0,0.038636363636363635,0.3,1,0,1,198.8181818181818,215.80000000000024,155.22727272727275,None,None,None,0.0,unknown
1763613481.7915988,0,0.03888888888888889,0.3,1,0,1,198.73333333333332,215.70000000000024,154.66666666666669,None,None,None,0.0,unknown
1763613481.899685,0,0.0391304347826087,0.3,0,1,1,198.65217391304347,215.60000000000025,154.02173913043478,None,None,None,0.0,unknown
1763613482.077367,0,0.03829787234042553,0.3,0,0,1,198.5744680851064,215.50000000000026,153.51063829787233,None,None,None,0.0,unknown
1763613482.2637382,0,0.037500000000000006,0.3,0,0,1,198.5,215.40000000000026,152.8125,None,None,None,0.0,unknown
1763613482.3089428,0,0.036734693877551024,0.3,0,0,1,198.42857142857142,215.30000000000027,152.24489795918367,None,None,None,0.0,unknown
1763613482.355301,0,0.038,0.3,1,1,1,198.36,215.20000000000027,151.5,None,None,None,0.0,unknown
1763613482.4324183,0,0.038,0.3,0,0,1,198.2941176470588,215.10000000000028,150.68627450980392,None,None,None,0.0,unknown
1763613482.5402837,0,0.037000000000000005,0.3,0,1,1,198.23076923076923,215.00000000000028,150.09615384615387,None,None,None,0.0,unknown
1763613482.562318,0,0.037000000000000005,0.3,0,1,1,198.16981132075472,214.9000000000003,149.71698113207546,None,None,None,0.0,unknown
1763613482.7021391,0,0.038,0.3,0,1,1,198.11111111111111,214.8000000000003,149.35185185185185,None,None,None,0.0,unknown
1763613482.7876408,0,0.037000000000000005,0.3,0,0,1,198.05454545454546,214.7000000000003,149.0,None,None,None,0.0,unknown
1763613482.9337003,0,0.037000000000000005,0.3,0,1,1,198,214.6000000000003,148.75,None,None,None,0.0,unknown
1763613483.0164464,0,0.036000000000000004,0.3,0,0,1,197.94736842105263,214.5000000000003,148.50877192982455,None,None,None,0.0,unknown
