Time,ReachedHoldTime,Force,DesiredForce,State,ActualWidth,CommandWidth,Proximity,RawFzL,RawFzR,ForcePrediction,SpringConstant,RLSError,BaselineWidth,Ripeness
1762153502.3911524,0,0.1,0,1,2,0,698,400,697.5,0.0,0.0,0.0,0.0,unknown
1762153502.4012196,0,0.1,0,1,1,0,597.3333333333334,400,633.3333333333334,0.0,0.0,0.0,0.0,unknown
1762153502.4112897,0,0.1,0,0,2,0,547,400,602.5,0.0,0.0,0.0,0.0,unknown
1762153502.4213521,0,0.09,0,0,1,0,516.8,400,585.0,0.0,0.0,0.0,0.0,unknown
1762153502.4314153,0,0.08333333333333334,0,1,0,0,496.6666666666667,400,574.1666666666666,0.0,0.0,0.0,0.0,unknown
1762153502.4414937,0,0.07857142857142857,0,0,1,0,482.2857142857143,400,566.4285714285714,0.0,0.0,0.0,0.0,unknown
1762153502.4515555,0,0.0875,0,1,2,0,471.5,400,561.25,0.0,0.0,0.0,0.0,unknown
1762153502.4616323,0,0.08333333333333333,0,0,1,0,463.1111111111111,400,557.2222222222222,0.0,0.0,0.0,0.0,unknown
1762153502.4717891,0,0.08,0,0,1,0,456.4,400,553.5,0.0,0.0,0.0,0.0,unknown
1762153502.481875,0,0.07727272727272727,0,0,1,0,450.90909090909093,400,550.4545454545455,0.0,0.0,0.0,0.0,unknown
1762153502.4919865,0,0.07916666666666666,0,0,2,0,446.3333333333333,400,547.5,0.0,0.0,0.0,0.0,unknown
1762153502.5020933,0,0.07692307692307693,0,1,0,0,442.46153846153845,400,545.0,0.0,0.0,0.0,0.0,unknown
1762153502.5121975,0,0.075,0,0,1,0,439.14285714285717,400,542.8571428571429,0.0,0.0,0.0,0.0,unknown
1762153502.5222852,0,0.07333333333333333,0,1,0,0,436.26666666666665,400,541.0,0.0,0.0,0.0,0.0,unknown
1762153502.5323691,0,0.075,0,0,2,0,433.75,400,539.0625,0.0,0.0,0.0,0.0,unknown
1762153502.5424645,0,0.07647058823529412,0,0,2,0,431.52941176470586,400,537.6470588235294,0.0,0.0,0.0,0.0,unknown
1762153502.5525398,0,0.07777777777777778,0,0,2,0,429.55555555555554,400,536.3888888888889,0.0,0.0,0.0,0.0,unknown
1762153502.5626485,0,0.07894736842105264,0,0,2,0,427.7894736842105,400,535.2631578947369,0.0,0.0,0.0,0.0,unknown
1762153502.5727487,0,0.08,0,0,2,0,426.2,400,534.75,0.0,0.0,0.0,0.0,unknown
1762153502.5828176,0,0.07857142857142857,0,0,1,0,424.76190476190476,400,534.2857142857142,0.0,0.0,0.0,0.0,unknown
1762153502.5928848,0,0.07954545454545454,0,0,2,0,423.45454545454544,400,534.0909090909091,0.0,0.0,0.0,0.0,unknown
1762153502.6029522,0,0.08478260869565218,0,1,3,0,422.2608695652174,400,533.695652173913,0.0,0.0,0.0,0.0,unknown
1762153502.6131413,0,0.08541666666666667,0,0,2,0,421.1666666666667,400,532.9166666666666,0.0,0.0,0.0,0.0,unknown
1762153502.6232128,0,0.084,0,0,1,0,420.16,400,532.2,0.0,0.0,0.0,0.0,unknown
1762153502.6333663,0,0.08076923076923077,0,0,0,0,419.2307692307692,400,531.5384615384615,0.0,0.0,0.0,0.0,unknown
1762153502.6435592,0,0.07962962962962963,0,0,1,0,418.3703703703704,400,530.9259259259259,0.0,0.0,0.0,0.0,unknown
1762153502.6537192,0,0.08035714285714286,0,1,1,0,417.57142857142856,400,530.1785714285713,0.0,0.0,0.0,0.0,unknown
1762153502.6638675,0,0.07931034482758621,0,0,1,0,416.82758620689657,400,529.4827586206897,0.0,0.0,0.0,0.0,unknown
1762153502.6739728,0,0.07833333333333334,0,0,1,0,416.1333333333333,400,528.8333333333333,0.0,0.0,0.0,0.0,unknown
1762153502.684092,0,0.07741935483870968,0,0,1,0,415.48387096774195,400,528.3870967741937,0.0,0.0,0.0,0.0,unknown
1762153502.694183,0,0.0765625,0,1,0,0,414.875,400,528.28125,0.0,0.0,0.0,0.0,unknown
