Time,State,X,Y,Z,RX,RY,RZ,F
1732691121.3546202,1,0,0,0,0,0,0,0
1732691125.430128,0,0,0,0,0,0,0,0
1732691125.9738336,0,-0.3,0.45,0.36,-90,-22,0,0
1732691135.7269611,0,-0.3,0.55,0.36,-90,-22,0,0
1732691139.021053,1,0,0,0,0,0,0,1
1732691199.2585025,0,-0.3,0.45,0.36,-90,-22,0,0
1732691202.08479,0,-0.3,0,0.35,-179.5,0,-179.5,0
1732691209.9910567,0,-0.3,0,0.2,-179.5,0,-179.5,0
1732691213.314074,1,0,0,0,0,0,0,0
1732691219.3609614,0,-0.3,0,0.35,-179.5,0,-179.5,0
1732691222.746169,0,0,0,0,0,0,0,0
