Time,ReachedHoldTime,Force,DesiredForce,State,ActualWidth,CommandWidth,Proximity
1740798912.19141,1740798912.1914082,236.95,0,0,1000,0,950.0
1740798923.4335845,1740798912.1914082,118.47225159999999,0,0,999,1000,965.0
1740798923.4364748,1740798912.1914082,78.97966986666665,0,0,998.6666666666666,1000,970.0
1740798923.4390473,1740798912.1914082,59.24587979999999,0,0,998.5,1000,972.5
1740798923.441572,1740798912.1914082,47.39560639999999,0,0,998.4,1000,974.0
1740798923.4438412,1740798912.1914082,39.49542466666666,0,0,998.3333333333334,1000,975.0
1740798923.4456859,1740798912.1914082,33.85243817142857,0,0,998.2857142857143,1000,975.7142857142858
1740798923.4473546,1740798912.1914082,29.620198699999992,0,0,998.25,1000,976.25
1740798923.4490404,1740798912.1914082,26.328457244444436,0,0,998.2222222222222,1000,976.6666666666667
1740798923.4505396,1740798912.1914082,23.695064399999993,0,0,998.2,1000,977.0
1740798923.4524176,1740798912.1914082,21.54047054545454,0,0,998.1818181818181,1000,977.2727272727273
1740798923.4543095,1740798912.1914082,19.744975933333325,0,0,998.1666666666666,1000,977.5
1740798923.45614,1740798912.1914082,18.221865353846148,0,0,998.1538461538462,1000,977.6923076923076
1740798923.4582174,1740798912.1914082,16.916342228571423,0,0,998.1428571428571,1000,977.8571428571429
1740798923.4601192,1740798912.1914082,15.78488906666666,0,0,998.1333333333333,1000,978.0
1740798923.4618266,1740798912.1914082,14.794867749999993,0,0,998.125,1000,978.125
1740798923.465642,1740798912.1914082,13.92426089411764,0,0,998,1000,977.6470588235294
1740798923.4685485,1740798912.1914082,13.150388311111104,0,0,997.8888888888889,1000,977.2222222222222
1740798923.471265,1740798912.1914082,12.455344589473677,0,0,997.8947368421053,1000,976.8421052631579
1740798923.4743197,1740798912.1914082,11.829805399999993,0,0,997.9,1000,976.5
1740798923.476407,1740798912.1914082,11.263841523809518,0,0,997.9047619047619,1000,976.1904761904761
1740798923.4779809,1740798912.1914082,10.749329054545449,0,0,997.9090909090909,1000,975.9090909090909
1740798923.479856,1740798912.1914082,10.279556939130428,0,0,997.9130434782609,1000,975.4347826086956
1740798923.4817646,1740798912.1914082,9.848932633333327,0,0,997.9166666666666,1000,975.0
1740798923.4837072,1740798912.1914082,9.452758399999993,0,0,997.92,1000,974.6
1740798923.4854603,1740798912.1914082,9.087059230769224,0,0,997.9230769230769,1000,974.2307692307693
1740798923.4876308,1740798912.1914082,8.748449007407402,0,0,997.925925925926,1000,973.8888888888889
1740798923.4893456,1740798912.1914082,8.434025342857137,0,0,997.9285714285714,1000,973.5714285714286
