Time,State,X,Y,Z,RX,RY,RZ,F,Valid
1763284912.2445943,Action.GRIP,0,0,0,0,0,0,0,1
1763284935.2566571,Action.MOVE,0.156,0.221,0.326,-90,68,0,0,1
1763284983.0274222,Action.MOVE,0.2603495939868519,0.4458350721404182,0.406,-90,-18,0,0,1
1763285016.014518,Action.MOVE,0.18034959398685194,0.5458350721404182,0.4107118711627387,-90,68,0,0,1
1763285093.663972,Action.MOVE,0.18034959398685194,0.5958350721404182,0.4107118711627387,-90,68,0,0,1
1763285097.558355,Action.GRIP,0,0,0,0,0,0,0.5,1
1763285251.6162987,Action.MOVE,0.18034959398685194,0.5958350721404182,0.36071187116273873,-90,68,0,0,1
1763285255.5374718,Action.MOVE,0.18034959398685194,0.5458350721404182,0.36071187116273873,-90,68,0,0,1
1763285259.7895381,Action.MOVE,-0.3,0.0,0.35,-179.5,0,0,0,1
1763285271.170242,Action.MOVE,-0.3,0.0,0.2,-179.5,0,0,0,1
1763285275.7682352,Action.GRIP,0,0,0,0,0,0,0.0,1
1763285276.4419687,Action.MOVE,-0.3,0.0,0.35,-179.5,0,0,0,1
1763285280.7459636,Action.MOVE,0.156,0.221,0.326,-90,68,0,0,1
1763285289.3296034,Action.MOVE,0.12545382825018775,0.4754342647952271,0.406,-90,-18,0,0,1
1763285321.726454,Action.MOVE,0.04545382825018773,0.5754342647952271,0.36942685493983723,-90,68,0,0,1
1763285397.2149334,Action.MOVE,0.04545382825018773,0.6254342647952271,0.36942685493983723,-90,68,0,0,1
1763285401.089063,Action.GRIP,0,0,0,0,0,0,0.5,1
1763285422.3289273,Action.MOVE,0.04545382825018773,0.6254342647952271,0.31942685493983725,-90,68,0,0,1
1763285425.6608593,Action.MOVE,0.04545382825018773,0.5754342647952271,0.31942685493983725,-90,68,0,0,1
1763285429.3350384,Action.MOVE,0.156,0.221,0.326,-90,68,0,0,1
1763285434.7103462,Action.MOVE,0.37265282995531485,0.4252118247599529,0.406,-90,-18,0,0,1
1763285468.191707,Action.MOVE,0.29265282995531483,0.5252118247599529,0.38153833068000986,-90,68,0,0,1
1763285543.9567394,Action.MOVE,0.29265282995531483,0.5752118247599529,0.38153833068000986,-90,68,0,0,1
1763285547.721779,Action.GRIP,0,0,0,0,0,0,0.5,1
1763285837.601672,Action.MOVE,0.29265282995531483,0.5752118247599529,0.3315383306800099,-90,68,0,0,1
1763285841.3871825,Action.MOVE,0.29265282995531483,0.5252118247599529,0.3315383306800099,-90,68,0,0,1
