frame,timestamp_sec,track_id,label,score,u,v,bbox_x1,bbox_y1,bbox_x2,bbox_y2,X_m,Y_m,Z_m
0,1762956309.308322,1,blueberry,0.9640,650.50,473.50,603,432,698,515,-0.0003,0.2823,-0.0029
1,1762956311.163003,1,blueberry,0.9653,650.50,473.00,603,431,698,515,0.0008,0.2827,-0.0050
2,1762956312.695133,1,blueberry,0.9679,648.50,472.50,601,432,696,513,-0.0008,0.2826,-0.0039
3,1762956314.106304,1,blueberry,0.9639,647.50,473.50,600,432,695,515,-0.0008,0.2826,-0.0034
4,1762956315.638435,1,blueberry,0.9653,649.50,473.00,602,431,697,515,-0.0003,0.2826,-0.0029
10,1762956400.632575,1,blueberry,0.9642,636.00,465.00,588,423,684,507,-0.0034,0.2817,-0.0044
11,1762956401.842185,1,blueberry,0.9659,637.00,467.00,591,425,683,509,0.0003,0.2817,-0.0055
12,1762956403.092114,1,blueberry,0.9641,637.00,467.50,591,426,683,509,-0.0039,0.2817,-0.0055
13,1762956404.583966,1,blueberry,0.9653,636.00,467.00,590,425,682,509,-0.0034,0.2817,-0.0055
14,1762956405.914537,1,blueberry,0.9653,636.50,467.50,590,425,683,510,-0.0034,0.2817,-0.0060
17,1762956462.081281,1,blueberry,0.9615,638.00,526.50,589,485,687,568,-0.0064,0.2763,0.0105
20,1762956545.062814,1,blueberry,0.9687,595.50,531.50,547,489,644,574,-0.0129,0.2723,0.0113
21,1762956546.191826,1,blueberry,0.9620,592.50,532.50,545,490,640,575,-0.0123,0.2722,0.0118
22,1762956547.522448,1,blueberry,0.9638,596.50,531.00,548,488,645,574,-0.0129,0.2723,0.0118
23,1762956548.812748,1,blueberry,0.9703,595.00,531.50,546,489,644,574,-0.0123,0.2723,0.0118
24,1762956550.627234,1,blueberry,0.9706,595.50,530.50,547,488,644,573,-0.0118,0.2723,0.0123
35,1762956763.048184,1,blueberry,0.9662,599.50,461.50,546,417,653,506,-0.0123,0.2702,-0.0038
36,1762956764.136927,1,blueberry,0.9665,599.00,462.00,545,417,653,507,-0.0133,0.2702,-0.0048
37,1762956765.588584,1,blueberry,0.9610,599.50,463.50,546,417,653,510,-0.0123,0.2707,-0.0038
38,1762956767.040241,1,blueberry,0.9630,602.50,463.00,547,418,658,508,-0.0118,0.2710,-0.0043
39,1762956768.411251,1,blueberry,0.9752,602.50,462.00,547,418,658,506,-0.0113,0.2717,-0.0048
45,1762956890.715017,1,blueberry,0.9686,595.50,479.00,544,434,647,524,-0.0133,0.2715,-0.0028
46,1762956891.803786,1,blueberry,0.9595,595.00,478.50,544,434,646,523,-0.0133,0.2714,-0.0018
47,1762956893.174831,1,blueberry,0.9641,597.00,480.50,544,438,650,523,-0.0128,0.2717,-0.0023
48,1762956895.150746,1,blueberry,0.9586,595.00,479.00,544,434,646,524,-0.0133,0.2717,-0.0023
49,1762956896.642766,1,blueberry,0.9584,595.50,479.00,544,434,647,524,-0.0128,0.2715,-0.0023
60,1762957235.824346,1,blueberry,0.9813,494.00,678.50,446,635,542,722,-0.0286,0.2393,0.0516
61,1762957236.913172,1,blueberry,0.9751,493.50,679.00,448,635,539,723,-0.0368,0.2410,0.0462
62,1762957238.284286,1,blueberry,0.9825,494.00,679.00,446,635,542,723,-0.0345,0.2405,0.0461
63,1762957239.494094,1,blueberry,0.9827,494.50,679.00,447,635,542,723,-0.0322,0.2401,0.0473
64,1762957240.784554,1,blueberry,0.9812,494.00,678.00,447,635,541,721,-0.0336,0.2403,0.0465
65,1762957263.932263,1,blueberry,0.9865,520.00,533.00,479,492,561,574,-0.0304,0.2469,0.0130
66,1762957265.061422,1,blueberry,0.9892,520.00,534.00,479,493,561,575,-0.0300,0.2472,0.0140
67,1762957266.593852,1,blueberry,0.9869,520.00,533.00,479,492,561,574,-0.0304,0.2473,0.0130
68,1762957268.247264,1,blueberry,0.9871,520.00,533.00,479,492,561,574,-0.0304,0.2467,0.0135
69,1762957269.618387,1,blueberry,0.9876,519.50,533.00,479,491,560,575,-0.0282,0.2474,0.0153
75,1762957733.675812,1,blueberry,0.9705,480.50,688.00,426,645,535,731,-0.0374,0.2449,0.0496
76,1762957734.805030,1,blueberry,0.9707,479.50,690.00,423,648,536,732,-0.0374,0.2449,0.0492
77,1762957736.135893,1,blueberry,0.9739,480.50,687.50,426,645,535,730,-0.0374,0.2446,0.0496
78,1762957737.668404,1,blueberry,0.9700,480.00,690.00,423,648,537,732,-0.0369,0.2445,0.0477
79,1762957738.999267,1,blueberry,0.9706,479.00,688.00,425,646,533,730,-0.0374,0.2448,0.0469
90,1762957888.944441,1,blueberry,0.9674,485.00,619.00,430,576,540,662,-0.0369,0.2420,0.0311
91,1762957890.033344,1,blueberry,0.9679,485.00,618.00,430,575,540,661,-0.0369,0.2420,0.0311
92,1762957891.323897,1,blueberry,0.9682,484.00,618.50,430,576,538,661,-0.0365,0.2420,0.0311
93,1762957892.816099,1,blueberry,0.9718,484.50,618.50,430,576,539,661,-0.0356,0.2421,0.0320
94,1762957894.187312,1,blueberry,0.9709,485.00,618.50,430,576,540,661,-0.0356,0.2421,0.0316
95,1762957917.296323,1,blueberry,0.9525,677.50,523.00,641,472,714,574,0.0079,0.2449,0.0102
96,1762957918.385230,1,blueberry,0.9509,676.50,521.00,640,471,713,571,0.0088,0.2447,0.0097
98,1762957920.522717,1,blueberry,0.9509,676.00,521.50,639,472,713,571,0.0084,0.2448,0.0111
99,1762957921.732615,1,blueberry,0.9570,677.00,521.50,640,471,714,572,0.0088,0.2447,0.0097
100,1762958251.191384,1,blueberry,0.9688,495.00,703.50,441,655,549,752,-0.0347,0.2422,0.0527
101,1762958252.320642,1,blueberry,0.9751,497.50,701.50,443,653,552,750,-0.0339,0.2424,0.0523
102,1762958253.974199,1,blueberry,0.9646,495.50,701.00,442,652,549,750,-0.0339,0.2425,0.0532
103,1762958255.305112,1,blueberry,0.9678,496.00,700.50,443,651,549,750,-0.0348,0.2423,0.0536
104,1762958256.636023,1,blueberry,0.9704,497.00,703.00,443,655,551,751,-0.0343,0.2423,0.0527
110,1762958363.956265,1,blueberry,0.9602,610.00,612.50,567,569,653,656,-0.0118,0.2724,0.0335
112,1762958365.690493,1,blueberry,0.9550,610.50,612.50,567,572,654,653,-0.0104,0.2747,0.0358
113,1762958367.102073,1,blueberry,0.9566,610.00,612.50,567,569,653,656,-0.0114,0.2739,0.0342
120,1762958478.173777,1,blueberry,0.9884,741.50,509.00,697,470,786,548,0.0257,0.2925,0.0084
